Ï,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
11055,11056,1730,TX-00265,ABILENE,79601,JONES,TX,24164,22604,1560,13100,13100,0
11055,11056,1730,TX-00265,ABILENE,79602,TAYLOR,TX,9586,9586,0,9600,9600,0
11055,11056,1730,TX-00265,ABILENE,79606,TAYLOR,TX,12984,12984,0,0,0,0
11055,11056,1730,TX-00265,ADKINS,78101,BEXAR,TX,55566,55566,0,0,0,0
11055,11056,1730,TX-00265,COMFORT,78013,KENDALL,TX,95391,61158,34233,7100,7100,0
11055,11056,1730,TX-00265,DEER PARK,77536,HARRIS,TX,225789,146429,79360,10000,6700,3300
11055,11056,1730,TX-00265,HAMLIN,79520,JONES,TX,2276414,1354254,922160,694000,312400,381600
11055,11056,1730,TX-00265,HELOTES,78023,BEXAR,TX,24812,14212,10600,24600,14000,10600
11055,11056,1730,TX-00265,HOUSTON,77004,HARRIS,TX,1959,1959,0,0,0,0
11055,11056,1730,TX-00265,LA PORTE,77571,HARRIS,TX,143528,75894,67634,47100,7100,40000
11055,11056,1730,TX-00265,LAPORTE,77571,HARRIS,TX,43451,39276,4175,0,0,0
11055,11056,1730,TX-00265,MERKEL,79536,TAYLOR,TX,133097,83597,49500,0,0,0
11055,11056,1730,TX-00265,PASADENA,77505,HARRIS,TX,3835,0,3835,0,0,0
11055,11056,1730,TX-00265,PASADENA,77506,HARRIS,TX,12967,11567,1400,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78207,BEXAR,TX,14280,13580,700,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78211,BEXAR,TX,31084,10484,20600,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78221,BEXAR,TX,196314,120114,76200,78500,29100,49400
11055,11056,1730,TX-00265,SAN ANTONIO,78223,BEXAR,TX,15809,14409,1400,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78224,BEXAR,TX,39408,23358,16050,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78225,BEXAR,TX,11374,11374,0,8900,8900,0
11055,11056,1730,TX-00265,SAN ANTONIO,78227,BEXAR,TX,181858,113008,68850,101900,55500,46400
11055,11056,1730,TX-00265,SAN ANTONIO,78228,BEXAR,TX,24795,22795,2000,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78238,BEXAR,TX,21744,16875,4869,16000,11100,4900
11055,11056,1730,TX-00265,SAN ANTONIO,78242,BEXAR,TX,300157,169357,130800,101800,77000,24800
11055,11056,1730,TX-00265,SAN ANTONIO,78245,BEXAR,TX,27295,20915,6380,23100,16800,6300
11055,11056,1730,TX-00265,SAN ANTONIO,78250,BEXAR,TX,17107,15607,1500,0,0,0
11055,11056,1730,TX-00265,SAN ANTONIO,78251,BEXAR,TX,29253,25003,4250,28600,24400,4200
11055,11056,1730,TX-00265,TUSCOLA,79562,TAYLOR,TX,432625,238000,194625,0,0,0
11067,11068,,FL-00028,DEERFIELD BEACH,33441,BROWARD,FL,44695,0,44695,33700,0,33700
11076,11077,,TX-00267,BEAUMONT,77701,JEFFERSON,TX,16073,15748,325,16200,15900,300
11076,11077,,TX-00267,BEAUMONT,77705,JEFFERSON,TX,79235,76435,2800,68900,66100,2800
11076,11077,,TX-00267,BEAUMONT,77708,JEFFERSON,TX,77442,54622,22820,0,0,0
11076,11077,,TX-00267,GILCHRIST,77617,GALVESTON,TX,12902,7537,5365,0,0,0
11076,11077,,TX-00267,HAMSHIRE,77622,JEFFERSON,TX,39119,39119,0,37700,37700,0
11076,11077,,TX-00267,HIGH ISLAND,77623,GALVESTON,TX,127902,111577,16325,77200,76100,1100
11076,11077,,TX-00267,MAURICEVILLE,77626,ORANGE,TX,17657,15522,2135,17700,15600,2100
11076,11077,,TX-00267,ORANGE,77630,ORANGE,TX,11856,11856,0,11900,11900,0
11076,11077,,TX-00267,ORANGE,77632,ORANGE,TX,12220,12220,0,0,0,0
11076,11077,,TX-00267,PORT ARTHUR,77640,JEFFERSON,TX,21683,21458,225,21700,21500,200
11076,11077,,TX-00267,PORT ARTHUR,77642,JEFFERSON,TX,65456,58619,6837,35600,35200,400
11076,11077,,TX-00267,PORT BOLIVAR,77650,GALVESTON,TX,48156,39256,8900,0,0,0
11076,11077,,TX-00267,VIDOR,77662,ORANGE,TX,13210,11535,1675,12600,11600,1000
11076,11077,,TX-00267,WINNIE,77665,CHAMBERS,TX,34111,28786,5325,9300,7300,2000
11079,11080,1731,CA-00074,AGUA DULCE,91390,LOS ANGELES,CA,175382,153782,21600,0,0,0
11079,11080,1731,CA-00074,ARROWBEAR,91701,SAN BERNARDINO,CA,377957,289957,88000,42800,42800,0
11079,11080,1731,CA-00074,CALABASAS,91302,LOS ANGELES,CA,3300,0,3300,0,0,0
11079,11080,1731,CA-00074,CANYON COUNTRY,91351,LOS ANGELES,CA,1460314,1181564,278750,257600,195300,62300
11079,11080,1731,CA-00074,CANYON COUNTRY,91387,LOS ANGELES,CA,26695,23225,3470,10000,10000,0
11079,11080,1731,CA-00074,CANYON COUNTRY,91390,LOS ANGELES,CA,42042,14817,27225,42100,14900,27200
11079,11080,1731,CA-00074,CARLSBAD,92009,SAN DIEGO,CA,22020,0,22020,0,0,0
11079,11080,1731,CA-00074,CARLSBAD,92010,SAN DIEGO,CA,8910,8910,0,0,0,0
11079,11080,1731,CA-00074,CASTAIC,91384,LOS ANGELES,CA,60407,47267,13140,27700,17600,10100
11079,11080,1731,CA-00074,CHATSWORTH,91311,LOS ANGELES,CA,45952,35612,10340,0,0,0
11079,11080,1731,CA-00074,CHULA VISTA,91910,SAN DIEGO,CA,16590,0,16590,16500,0,16500
11079,11080,1731,CA-00074,CRESTLINE,92325,SAN BERNARDINO,CA,6445,1495,4950,4500,0,4500
11079,11080,1731,CA-00074,DULZURA,91917,SAN DIEGO,CA,11141453,8755114,2386339,2591100,1923000,497800
11079,11080,1731,CA-00074,ENCINITAS,92024,SAN DIEGO,CA,305710,254120,51590,202800,169600,33200
11079,11080,1731,CA-00074,ESCONDIDO,92025,SAN DIEGO,CA,21700316,17792884,3907432,2844500,2335800,508700
11079,11080,1731,CA-00074,ESCONDIDO,92027,SAN DIEGO,CA,5512662,4505302,1007360,1127000,831000,214600
11079,11080,1731,CA-00074,ESCONDIDO,92029,SAN DIEGO,CA,16276147,13813842,2462305,2331500,2011900,319600
11079,11080,1731,CA-00074,FALLBROOK,92028,SAN DIEGO,CA,26650187,20924924,5725263,7056200,5672100,1200000
11079,11080,1731,CA-00074,GREEN VALLEY,92341,SAN BERNARDINO,CA,256590,187890,68700,0,0,0
11079,11080,1731,CA-00074,GREEN VALLEY LAKE,92341,SAN BERNARDINO,CA,2360816,1783481,577335,538800,449700,89100
11079,11080,1731,CA-00074,IRVINE,92604,ORANGE,CA,16109,8044,8065,7900,0,7900
11079,11080,1731,CA-00074,JAMUL,91935,SAN DIEGO,CA,21097798,16889773,4208025,5335100,4092000,1043100
11079,11080,1731,CA-00074,JULIAN,92036,SAN DIEGO,CA,6910,0,6910,0,0,0
11079,11080,1731,CA-00074,LAKE ARROWHEAD,92352,SAN BERNARDINO,CA,25550786,20857161,4693625,2038700,1642600,396100
11079,11080,1731,CA-00074,LONG BEACH,90806,LOS ANGELES,CA,4000,0,4000,0,0,0
11079,11080,1731,CA-00074,MALIBU,90265,LOS ANGELES,CA,23800628,19100362,4700266,4170000,3280800,889200
11079,11080,1731,CA-00074,OCEANSIDE,92057,SAN DIEGO,CA,8480,8480,0,0,0,0
11079,11080,1731,CA-00074,ORANGE,92869,ORANGE,CA,3926,3826,100,0,0,0
11079,11080,1731,CA-00074,PALOMAR MOUNTAIN,92060,SAN DIEGO,CA,20960,0,20960,0,0,0
11079,11080,1731,CA-00074,PAUMA VALLEY,92061,SAN DIEGO,CA,5934666,4508870,1425796,1465800,1038200,427600
11079,11080,1731,CA-00074,POTRERO,91963,SAN DIEGO,CA,2587520,2210710,376810,519200,458000,61200
11079,11080,1731,CA-00074,POWAY,92064,SAN DIEGO,CA,39802921,34397296,5405625,4936800,4287600,649200
11079,11080,1731,CA-00074,RAMEMA,91943,SAN DIEGO,CA,576,0,576,0,0,0
11079,11080,1731,CA-00074,RAMONA,92065,SAN DIEGO,CA,90081371,74626957,15454414,16329900,13222300,2734000
11079,11080,1731,CA-00074,RANCHO SANTA FE,92067,SAN DIEGO,CA,10825926,9597923,1228003,1100700,1015900,84800
11079,11080,1731,CA-00074,RINCON,92061,SAN DIEGO,CA,33186,33186,0,0,0,0
11079,11080,1731,CA-00074,RINCON,92082,SAN DIEGO,CA,29350,0,29350,0,0,0
11079,11080,1731,CA-00074,RUNNING SPRINGS,92382,SAN BERNARDINO,CA,22188978,17675543,4513435,3186300,2532200,654100
11079,11080,1731,CA-00074,SAN BERNARDINO,92407,SAN BERNARDINO,CA,28791,5691,23100,28800,5700,23100
11079,11080,1731,CA-00074,SAN BERNARDINO,92411,SAN BERNARDINO,CA,23900,0,23900,23900,0,23900
