SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,ADAMS RUN,29426,SC,688,688,0,50700,700,0,50000
14495,14496,4241,SC-00031,ALCOLU,29001,SC,22384,22384,0,35400,9500,0,25900
14495,14496,4241,SC-00031,ALVIN,29479,SC,73577,73577,0,0,0,0,0
14495,14496,4241,SC-00031,ANDREWS,29510,SC,833220,771616,61604,294800,258200,29400,7200
14495,14496,4241,SC-00031,ANDREWS,29510,SC,180995,151015,29980,87100,0,0,87100
14495,14496,4241,SC-00031,AWENDAW,29429,SC,30802,13253,17549,3600,3600,0,0
14495,14496,4241,SC-00031,AYNOR,29511,SC,719,0,719,0,0,0,0
14495,14496,4241,SC-00031,BAMBERG,29003,SC,78492,78142,350,78600,78300,300,0
14495,14496,4241,SC-00031,BISHOPVILLE,29010,SC,4243356,4235401,7955,3351800,3324700,2100,25000
14495,14496,4241,SC-00031,Bishopville,29010,SC,821020,821020,0,686400,686400,0,0
14495,14496,4241,SC-00031,BLYTHEWOOD,29016,SC,185414,151079,34335,0,0,0,0
14495,14496,4241,SC-00031,BONNEAU,29431,SC,159017,157127,1890,154000,154000,0,0
14495,14496,4241,SC-00031,BOWMAN,29018,SC,29107,29107,0,0,0,0,0
14495,14496,4241,SC-00031,BRANCHVILLE,29432,SC,16591,16591,0,0,0,0,0
14495,14496,4241,SC-00031,CADES,29518,SC,250764,191542,59222,129500,107600,21900,0
14495,14496,4241,SC-00031,Cades,29518,SC,52487,35635,16852,52500,35700,16800,0
14495,14496,4241,SC-00031,CAMDEN,29020,SC,684586,677531,7055,645300,643400,0,1900
14495,14496,4241,SC-00031,Camden,29020,SC,284824,284824,0,284900,284900,0,0
14495,14496,4241,SC-00031,CAMERON,29030,SC,46543,46543,0,46600,46600,0,0
14495,14496,4241,SC-00031,CAMERON,29030,SC,18000,18000,0,0,0,0,0
14495,14496,4241,SC-00031,CAYCE,29033,SC,276129,274379,1750,180000,166600,0,13400
14495,14496,4241,SC-00031,CHAPIN,29036,SC,47126,47126,0,0,0,0,0
14495,14496,4241,SC-00031,Charleston,29456,SC,47801,47801,0,0,0,0,0
14495,14496,4241,SC-00031,CHARLESTON,29401,SC,267571,228470,39101,186100,161200,0,24900
