SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14893,14894,,NC-00079,ENFIELD,27823,HALIFAX,NC,11523,11523,0,10000,10000,0
14893,14894,,NC-00079,LEWISTON WOODVILLE,27849,BERTIE,NC,24202,15502,8700,24300,15600,8700
14893,14894,,NC-00079,WILLIAMSTON,27892,MARTIN,NC,21260,20160,1100,0,0,0
14893,14894,,NC-00079,WINDSOR,27983,BERTIE,NC,253147,157357,95790,112400,55100,57300
14903,14904,,MS-00092,CENTREVILLE,39631,AMITE,MS,29170,29170,0,0,0,0
14903,14904,,MS-00092,CLINTON,70722,EAST FELICIANA,LA,71182,50182,21000,71200,50200,21000
14903,14904,,MS-00092,CROSBY,39633,WILKINSON,MS,143317,91617,51700,69100,47600,21500
14903,14904,,MS-00092,NATCHEZ,39120,ADAMS,MS,62596,52621,9975,0,0,0
14907,14908,,IA-00067,CHARLES CITY,50616,FLOYD,IA,27902,22202,5700,23000,17300,5700
14907,14908,,IA-00067,CLARKSVILLE,50619,BUTLER,IA,1415280,1222470,192810,1058100,864400,148400
14907,14908,,IA-00067,GREENE,50636,BUTLER,IA,724656,602311,122345,400400,306700,93700
14907,14908,,IA-00067,GREENE,50636,FLOYD,IA,41931,31306,10625,42000,31300,10700
14907,14908,,IA-00067,MASON CITY,50401,CERRO GORDO,IA,14748,9948,4800,14800,10000,4800
14907,14908,,IA-00067,PLAINFIELD,50666,BREMER,IA,41845,25550,16295,25000,13300,11700
14907,14908,,IA-00067,SHELL ROCK,50670,BUTLER,IA,272766,195441,77325,261100,193600,67500
14911,14912,4285,NC-00081,ABERDEEN,28315,MOORE,NC,24336,20736,3600,23600,20000,3600
14911,14912,4285,NC-00081,AHOSKIE,27910,BERTIE,NC,107851,93451,14400,0,0,0
14911,14912,4285,NC-00081,AHOSKIE,27910,HERTFORD,NC,216331,163196,53135,89900,71700,18200
14911,14912,4285,NC-00081,ALBERTSON,28508,DUPLIN,NC,24030,24030,0,0,0,0
14911,14912,4285,NC-00081,ANGIER,27501,HARNETT,NC,33059,33059,0,12400,12400,0
14911,14912,4285,NC-00081,APEX,27539,WAKE,NC,102595,90495,12100,0,0,0
14911,14912,4285,NC-00081,ATKINSON,28421,PENDER,NC,1205925,865605,340320,807000,589800,217200
14911,14912,4285,NC-00081,AULANDER,27805,BERTIE,NC,45690,45690,0,14200,14200,0
14911,14912,4285,NC-00081,AULANDER,27805,HERTFORD,NC,91743,91743,0,0,0,0
14911,14912,4285,NC-00081,AUTRYVILLE,28318,CUMBERLAND,NC,56190,56190,0,53300,53300,0
14911,14912,4285,NC-00081,AUTRYVILLE,28318,SAMPSON,NC,85368,71805,13563,83300,69700,13600
14911,14912,4285,NC-00081,AYDEN,28513,GREENE,NC,14716,14716,0,10700,10700,0
14911,14912,4285,NC-00081,AYDEN,28513,PITT,NC,211620,170525,41095,119000,91100,27900
14911,14912,4285,NC-00081,AYDLETT,27916,CURRITUCK,NC,152328,151728,600,42500,41900,600
14911,14912,4285,NC-00081,BATTLEBORO,27809,EDGECOMBE,NC,111147,85947,25200,12500,2300,10200
14911,14912,4285,NC-00081,BEAUFORT,28516,CARTERET,NC,41154,38319,2835,0,0,0
14911,14912,4285,NC-00081,BELHAVEN,27810,BEAUFORT,NC,5578,0,5578,5600,0,5600
14911,14912,4285,NC-00081,BELVIDERE,27919,PERQUIMANS,NC,29597,25017,4580,29500,24900,4600
